PERMNO,date,DIVAMT,RETX
10104,2021-07-27,,-0.000683
10104,2021-07-28,,-0.007062
10104,2021-07-29,,0.005162
10104,2021-07-30,,-0.005592
10104,2021-08-02,,0.005279
10104,2021-08-03,,0.024429
10104,2021-08-04,,0.003454
10104,2021-08-05,,-0.006885
10104,2021-08-06,,0.001006
10104,2021-08-09,,0.004245
10104,2021-08-10,,-0.002892
10104,2021-08-11,,-0.000112
10104,2021-08-12,,0.002008
10104,2021-08-13,,0.006347
10104,2021-08-16,,0.004868
10104,2021-08-17,,0.001431
10104,2021-08-18,,-0.022100
10104,2021-08-19,,-0.002586
10104,2021-08-20,,0.002593
10104,2021-08-23,,0.002024
10104,2021-08-24,,-0.006396
10104,2021-08-25,,0.000791
10104,2021-08-26,,0.001128
10104,2021-08-27,,0.007101
10104,2021-08-30,,0.001119
10104,2021-08-31,,-0.003577
10104,2021-09-01,,0.009200
10104,2021-09-02,,-0.001668
10104,2021-09-03,,0.002227
10104,2021-09-07,,-0.014222
10104,2021-09-08,,0.008454
10104,2021-09-09,,0.000782
10104,2021-09-10,,0.001564
10104,2021-09-13,,-0.008809
10104,2021-09-14,,-0.028125
10104,2021-09-15,,0.015511
10104,2021-09-16,,-0.005471
10104,2021-09-17,,-0.009857
10104,2021-09-20,,-0.002547
10104,2021-09-21,,0.008704
10104,2021-09-22,,0.017487
10104,2021-09-23,,0.011081
10104,2021-09-24,,0.005815
10104,2021-09-27,,0.012230
10104,2021-09-28,,-0.006041
10104,2021-09-29,,0.008399
10104,2021-09-30,,-0.045151
10104,2021-10-01,,0.029955
10104,2021-10-04,,-0.005349
10104,2021-10-05,,0.024983
10104,2021-10-06,,-0.001640
10104,2021-10-07,,0.010620
10104,2021-10-08,0.32000,0.022533
10104,2021-10-11,,0.009535
10104,2021-10-12,,0.002938
10104,2021-10-13,,0.008685
10104,2021-10-14,,-0.011618
10104,2021-10-15,,0.000525
10104,2021-10-18,,0.012378
10104,2021-10-19,,0.005699
10104,2021-10-20,,-0.004327
10104,2021-10-21,,-0.003518
10104,2021-10-22,,0.020249
10104,2021-10-25,,-0.003664
10104,2021-10-26,,-0.009296
10104,2021-10-27,,-0.009796
10104,2021-10-28,,0.002083
10104,2021-10-29,,-0.003014
10104,2021-11-01,,-0.016260
10104,2021-11-02,,0.015787
10104,2021-11-03,,0.002921
10104,2021-11-04,,-0.005408
10104,2021-11-05,,-0.007111
10104,2021-11-08,,0.002001
10104,2021-11-09,,-0.005781
10104,2021-11-10,,-0.008035
10104,2021-11-11,,0.002238
10104,2021-11-12,,-0.005317
10104,2021-11-15,,0.005131
10104,2021-11-16,,0.016911
10104,2021-11-17,,-0.002929
10104,2021-11-18,,-0.007028
10104,2021-11-19,,-0.007289
10104,2021-11-22,,0.006811
10104,2021-11-23,,-0.017651
10104,2021-11-24,,0.006886
10104,2021-11-26,,-0.013358
10104,2021-11-29,,0.006607
10104,2021-11-30,,-0.023671
10104,2021-12-01,,-0.010910
10104,2021-12-02,,0.002674
10104,2021-12-03,,-0.019447
10104,2021-12-06,,0.007933
10104,2021-12-07,,0.012480
10104,2021-12-08,,-0.012326
10104,2021-12-09,,-0.001911
10104,2021-12-10,,0.156134
10104,2021-12-13,,-0.016954
10104,2021-12-14,,-0.009912
10104,2021-12-15,,0.037641
10104,2021-12-16,,-0.004149
10104,2021-12-17,,-0.063941
10104,2021-12-20,,-0.051542
10104,2021-12-21,,-0.001419
10104,2021-12-22,,-0.018031
10104,2021-12-23,,-0.001558
10104,2021-12-27,,-0.002006
10104,2021-12-28,,-0.009940
10104,2021-12-29,,-0.004963
10104,2021-12-30,,-0.002267
